ProjectName;Filename;Classname;LOC;Visibility;IsMock;Extensions;Implementations;PrivateMethods;ProtectedMethods;PackageMethods;PublicMethods;TotalMethods;IsStaticClass;MethodOverrides
dubbo;dubbo/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/mock/MockInvokersSelector.java;MockInvokersSelector;68;public;True;1;0;3;0;0;1;4;False;1
dubbo;dubbo/dubbo-monitor/dubbo-monitor-default/src/test/java/org/apache/dubbo/monitor/dubbo/MockMonitorService.java;MockMonitorService;17;public;True;0;1;0;0;0;3;3;False;0
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockExchanger.java;MockExchanger;11;public;True;0;1;0;0;0;2;2;False;2
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/GreetingMock1.java;GreetingMock1;2;public;True;0;0;0;0;0;0;0;False;0
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockProtocol2.java;MockProtocol2;23;public;True;0;1;0;0;0;4;4;False;4
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockTelnetHandler.java;MockTelnetHandler;6;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockRegistry.java;MockRegistry;79;public;True;0;1;0;0;0;9;9;False;7
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockLoadBalance.java;MockLoadBalance;6;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockThreadPool.java;MockThreadPool;6;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockInvokerListener.java;MockInvokerListener;11;public;True;0;1;0;0;0;2;2;False;2
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockCluster.java;MockCluster;6;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockCodec.java;MockCodec;11;public;True;0;1;0;0;0;2;2;False;2
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockProxyFactory.java;MockProxyFactory;16;public;True;0;1;0;0;0;3;3;False;3
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockRegistryFactory.java;MockRegistryFactory;12;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockDispatcher.java;MockDispatcher;6;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockExporterListener.java;MockExporterListener;11;public;True;0;1;0;0;0;2;2;False;2
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/GreetingMock2.java;GreetingMock2;9;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockFilter.java;MockFilter;6;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockStatusChecker.java;MockStatusChecker;6;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockRegistryFactory2.java;MockRegistryFactory2;8;public;True;0;1;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/utils/XxxMockReferenceConfig.java;XxxMockReferenceConfig;36;public;True;1;0;0;0;0;6;6;False;2
